London,England,109,129
Paris,France,152,157
Venice,Italy,175,203
Moscow,Russia,262,116
Dubai,UAE,314,302
Cairo,Egypt,228,268
Tokyo,Japan,614,226
Bangkok,Thailand,496,342
Shanghai,China,533,279
Sydney,Australia,658,522
Honolulu,USA,847,299
Wellington,New Zealand,723,582
Los Angeles,USA,980,232
Chicago,USA,1082,237
Anchorage,USA,892,108
Toronto,Canada,1095,150
Rio de Janeiro,Brazil,1248,482
New York,USA,1156,185
Grand Canyon,USA,1017,238
Niagara,Canada,1125,143
Uyuni,Bolivia,1152,490
Mexico city,Mexico,1039,290
